product_name,price,alink,store_name,brand_name,price_range,rating,sold,platform
Keychron Keycap Set PBT K6 XDA Profile Dye-Sub - Retro ENG คีย์ครอน ปุ่มคีย์แคป สำหรับคีย์บอร์ดรุ่น K6/K2,1590,https://shopee.co.th/Keychron-Keycap-Set-PBT-K6-XDA-Profile-Dye-Sub-Retro-ENG-คีย์ครอน-ปุ่มคีย์แคป-สำหรับคีย์บอร์ดรุ่น-K6-K2-i.241119803.15310844664?sp_atk=b2651227-eea9-43ea-8be2-fdb1508925b0&xptdk=b2651227-eea9-43ea-8be2-fdb1508925b0,keychronthailand,Keychron(คีย์ครอน),"฿1,590",5.0,60,shopee
[พร้อมส่ง] Keychron K2 V2 คีย์บอร์ดบลูทูธไร้สาย 84 คีย์,1567,https://shopee.co.th/-พร้อมส่ง-Keychron-K2-V2-คีย์บอร์ดบลูทูธไร้สาย-84-คีย์-i.877279922.19453096800?sp_atk=033fec04-3861-42d7-8095-2fdff737315d&xptdk=033fec04-3861-42d7-8095-2fdff737315d,b2qzlbdr1s,None,"฿1,567 - ฿1,735",None,0,shopee
เคสแป้นพิมพ์ ฝาครอบป้องกันถุงเก็บ for keychron K2 K3 K4 K6 K8 C1 C2 K12 K10 Q1 กระเป๋า carrying case Travel storage bag,523,https://shopee.co.th/เคสแป้นพิมพ์-ฝาครอบป้องกันถุงเก็บ-for-keychron-K2-K3-K4-K6-K8-C1-C2-K12-K10-Q1-กระเป๋า-carrying-case-Travel-storage-bag-i.891375709.20959647184?sp_atk=fb4f3818-50f5-4b6b-a683-e13734d0bb70&xptdk=fb4f3818-50f5-4b6b-a683-e13734d0bb70,67kw841ha9,None,฿523 - ฿586,None,0,shopee
❀Keychron k2 V2 คีย์บอร์ดเมคคานิคอล RGB บลูทูธ โหมดคู่ 84 คีย์,1134,https://shopee.co.th/❀Keychron-k2-V2-คีย์บอร์ดเมคคานิคอล-RGB-บลูทูธ-โหมดคู่-84-คีย์-i.913503635.18768236566?sp_atk=e4e79286-b433-48b4-ace4-d39d463c502a&xptdk=e4e79286-b433-48b4-ace4-d39d463c502a,gjzd_4uxu7,None,"฿1,134 - ฿3,820",None,0,shopee
[พร้อมส่ง] Keychron K2 V2 คีย์บอร์ดบลูทูธไร้สาย 84 คีย์,1486,https://shopee.co.th/-พร้อมส่ง-Keychron-K2-V2-คีย์บอร์ดบลูทูธไร้สาย-84-คีย์-i.869643417.21250517633?sp_atk=c006ba4a-2e79-4387-8150-60fc42722fbd&xptdk=c006ba4a-2e79-4387-8150-60fc42722fbd,yhhthp7gqt,None,"฿1,486 - ฿1,646",None,0,shopee
Keychron K2 V.2 Hotswappable (Key ENG) Mechanical Keyboard RGB Aluminum Frame คีย์บอร์ดไร้สาย,2001,https://shopee.co.th/Keychron-K2-V.2-Hotswappable-(Key-ENG)-Mechanical-Keyboard-RGB-Aluminum-Frame-คีย์บอร์ดไร้สาย-i.865746550.18548112918?sp_atk=481eb2e9-fae7-4774-aaed-0a1b0f5aa3a5&xptdk=481eb2e9-fae7-4774-aaed-0a1b0f5aa3a5,dd32essjlf,None,"฿2,001 - ฿4,042",None,0,shopee
9.9 3190 บาท Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2,1783,https://shopee.co.th/9.9-3190-บาท-Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-i.866427960.19447762143?sp_atk=b5ba9db4-ad1a-4e60-880d-4bee50f0a4ed&xptdk=b5ba9db4-ad1a-4e60-880d-4bee50f0a4ed,ip5v4xx47c,None,"฿1,783",None,0,shopee
Keychron k2 V2 คีย์บอร์ดเมคคานิคอล RGB บลูทูธ โหมดคู่ 84 คีย์,1272,https://shopee.co.th/Keychron-k2-V2-คีย์บอร์ดเมคคานิคอล-RGB-บลูทูธ-โหมดคู่-84-คีย์-i.898432191.19263285550?sp_atk=1c4964fc-46bc-43cf-8954-3d739c9e0b53&xptdk=1c4964fc-46bc-43cf-8954-3d739c9e0b53,fp3hs0y68m,None,"฿1,272 - ฿1,659",None,0,shopee
[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1617,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.863167504.19546834748?sp_atk=87562f6d-14f2-4a7a-a4bc-81e587128861&xptdk=87562f6d-14f2-4a7a-a4bc-81e587128861,bhi0j9mq17,None,"฿1,617 - ฿2,038",None,0,shopee
Keychron Keycap Set PBT OEM Profile Dye-Sub - Ocean ENG คีย์ครอน ปุ่มคีย์แคปภาษาอังกฤษ สำหรับคีย์บอร์ดรุ่น K2/Q1/Q2,1590,https://shopee.co.th/Keychron-Keycap-Set-PBT-OEM-Profile-Dye-Sub-Ocean-ENG-คีย์ครอน-ปุ่มคีย์แคปภาษาอังกฤษ-สำหรับคีย์บอร์ดรุ่น-K2-Q1-Q2-i.241119803.10787915377?sp_atk=c3e5c342-4d55-493c-933a-ff6895ef07d2&xptdk=c3e5c342-4d55-493c-933a-ff6895ef07d2,None,None,None,None,None,shopee
Keychron k2 V2 คีย์บอร์ดเมคคานิคอล RGB บลูทูธ โหมดคู่ 84 คีย์,2499,https://shopee.co.th/Keychron-k2-V2-คีย์บอร์ดเมคคานิคอล-RGB-บลูทูธ-โหมดคู่-84-คีย์-i.451937590.16735522114?sp_atk=cccfe78d-4e75-43f7-9ef9-898b24eb379f&xptdk=cccfe78d-4e75-43f7-9ef9-898b24eb379f,None,None,None,None,None,shopee
♤☊【พร้อมส่งของ】Keychron K2 Wireless Keyboard RGB คีย์บอร์ดไร้สาย - ระบบย้อนแสง Backlight Hot-swappable Light Grey,1383,https://shopee.co.th/♤☊【พร้อมส่งของ】Keychron-K2-Wireless-Keyboard-RGB-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-Backlight-Hot-swappable-Light-Grey-i.914103001.18967885586?sp_atk=e386d03e-2613-4db9-bdf3-68cb6b6414f6&xptdk=e386d03e-2613-4db9-bdf3-68cb6b6414f6,None,None,None,None,None,shopee
[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1674,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.835230358.14691210107?sp_atk=2efee1d8-85bb-4242-996c-2d73f9395e4d&xptdk=2efee1d8-85bb-4242-996c-2d73f9395e4d,None,None,None,None,None,shopee
❈Keychron Q1&K2 OEM Dye-Sub PBT Keycap Set - Orange,771,https://shopee.co.th/❈Keychron-Q1-K2-OEM-Dye-Sub-PBT-Keycap-Set-Orange-i.910484187.20768089133?sp_atk=b2766d6e-0502-4ff3-bd0e-214691096f03&xptdk=b2766d6e-0502-4ff3-bd0e-214691096f03,None,None,None,None,None,shopee
✎✲[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1564,https://shopee.co.th/✎✲-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.886235698.19657576175?sp_atk=a234082e-5d61-4549-a99f-4fcd1f035556&xptdk=a234082e-5d61-4549-a99f-4fcd1f035556,None,None,None,None,None,shopee
✤┇【ของแท้ใหม่】in stock Keychron K2 V2 RGB พร้อมส่งของแท้％ คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1626,https://shopee.co.th/✤┇【ของแท้ใหม่】in-stock-Keychron-K2-V2-RGB-พร้อมส่งของแท้％-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.886221661.19357575964?sp_atk=09c2a924-6abc-4324-8278-3acd45f59208&xptdk=09c2a924-6abc-4324-8278-3acd45f59208,None,None,None,None,None,shopee
[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1239,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.889038234.21161339424?sp_atk=c0e41177-04b1-4a2b-abd6-3fca2bcc0295&xptdk=c0e41177-04b1-4a2b-abd6-3fca2bcc0295,None,None,None,None,None,shopee
✠❧[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1240,https://shopee.co.th/✠❧-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.914635312.19467893916?sp_atk=004abe8f-3684-44f6-a7c0-90266830bef0&xptdk=004abe8f-3684-44f6-a7c0-90266830bef0,None,None,None,None,None,shopee
☼☄▦[พร้อมส่ง] Keychron K2 V2 คีย์บอร์ดบลูทูธไร้สาย 84 คีย์,1870,https://shopee.co.th/☼☄▦-พร้อมส่ง-Keychron-K2-V2-คีย์บอร์ดบลูทูธไร้สาย-84-คีย์-i.870996723.19850053204?sp_atk=54d93cbd-b636-4431-b274-576905375e06&xptdk=54d93cbd-b636-4431-b274-576905375e06,rtevjlxl6f,None,"฿1,870 - ฿2,104",None,0,shopee
Keychron K2 V.2 Hotswappable (Key ENG) Mechanical Keyboard RGB Aluminum Frame คีย์บอร์ดไร้สาย,1481,https://shopee.co.th/Keychron-K2-V.2-Hotswappable-(Key-ENG)-Mechanical-Keyboard-RGB-Aluminum-Frame-คีย์บอร์ดไร้สาย-i.877820406.18353368996?sp_atk=9e8dcba2-0fc8-4c01-b094-b48f321dd6bd&xptdk=9e8dcba2-0fc8-4c01-b094-b48f321dd6bd,None,None,None,None,None,shopee
Keychron K2V2 K2 Alluminum case non-hot swapable RGB (Key ENG) Mechanical Keyboard คีย์บอร์ดไร้สาย Wireless แท้100%,3190,https://shopee.co.th/Keychron-K2V2-K2-Alluminum-case-non-hot-swapable-RGB-(Key-ENG)-Mechanical-Keyboard-คีย์บอร์ดไร้สาย-Wireless-แท้100--i.281010707.12229073557?sp_atk=fdf524c6-c576-4c56-86ab-e7770161b5c5&xptdk=fdf524c6-c576-4c56-86ab-e7770161b5c5,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2,1946,https://shopee.co.th/Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-i.866400265.19148193252?sp_atk=b1263f2e-5db8-4a4e-9b3b-4695ce3820cf&xptdk=b1263f2e-5db8-4a4e-9b3b-4695ce3820cf,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2,1946,https://shopee.co.th/Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-i.868884751.18648989738?sp_atk=6aa09cb4-ce27-49cf-a544-a5cd2f55ba55&xptdk=6aa09cb4-ce27-49cf-a544-a5cd2f55ba55,None,None,None,None,None,shopee
New• พร้อมส่งทันที• Keychron K2 •V2  •K6 •K10 แป้น Eng แถมสติ๊กเกอร์ไทย•ส่งฟรี,1117,https://shopee.co.th/New•-พร้อมส่งทันที•-Keychron-K2-•V2-•K6-•K10-แป้น-Eng-แถมสติ๊กเกอร์ไทย•ส่งฟรี-i.898299990.19064630123?sp_atk=79cf6076-94e4-4dfc-85c6-defd6dd81241&xptdk=79cf6076-94e4-4dfc-85c6-defd6dd81241,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswappable (Key ENG) Mechanical Keyboard RGB Aluminum Frame คีย์บอร์ดไร้สาย,1626,https://shopee.co.th/Keychron-K2-V.2-Hotswappable-(Key-ENG)-Mechanical-Keyboard-RGB-Aluminum-Frame-คีย์บอร์ดไร้สาย-i.877903887.19253917942?sp_atk=e6f1cf84-d8d9-4997-bb9f-a71074245d5c&xptdk=e6f1cf84-d8d9-4997-bb9f-a71074245d5c,None,None,None,None,None,shopee
✐⊕[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1620,https://shopee.co.th/✐⊕-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.886221651.18557576930?sp_atk=428900a3-118c-417e-9a6c-a7cb7eb46e5f&xptdk=428900a3-118c-417e-9a6c-a7cb7eb46e5f,48lii4hjg7,None,"฿1,620 - ฿2,136",None,0,shopee
"❏◘คีย์ครอน K2 V.2 คีย์บอร์ดไร้สาย ภาษาไทย ไฟลอด/USB-C to USB-A ,Keychron K2 V.2 Wireless Hot swappable mechanical keyboa",2218,https://shopee.co.th/❏◘คีย์ครอน-K2-V.2-คีย์บอร์ดไร้สาย-ภาษาไทย-ไฟลอด-USB-C-to-USB-A-Keychron-K2-V.2-Wireless-Hot-swappable-mechanical-keyboa-i.876013149.21151682442?sp_atk=1e5102ed-7821-46b3-bf4c-ecd1a8787ae0&xptdk=1e5102ed-7821-46b3-bf4c-ecd1a8787ae0,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2,1333,https://shopee.co.th/Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-i.885526862.22201668058?sp_atk=5665647a-88f1-4626-b5ed-b8d8a697419b&xptdk=5665647a-88f1-4626-b5ed-b8d8a697419b,None,None,None,None,None,shopee
❇✘Keychron Keycap Set PBT K6 XDA Profile Dye-Sub - Retro ENG คีย์ครอน ปุ่มคีย์แคป สำหรับคีย์บอร์ดรุ่น K6/K2,790,https://shopee.co.th/❇✘Keychron-Keycap-Set-PBT-K6-XDA-Profile-Dye-Sub-Retro-ENG-คีย์ครอน-ปุ่มคีย์แคป-สำหรับคีย์บอร์ดรุ่น-K6-K2-i.908726583.21966004954?sp_atk=34914c9d-6966-4d36-88b4-7ae53dbc4c5e&xptdk=34914c9d-6966-4d36-88b4-7ae53dbc4c5e,None,None,None,None,None,shopee
﹍◈Keychron K2V2 K2 hotswap RGB (Key ENG) Mechanical Keyboard คีย์บอร์ดไร้สาย Wireless แท้100% ถูกสุดในโลก,2288,https://shopee.co.th/﹍◈Keychron-K2V2-K2-hotswap-RGB-(Key-ENG)-Mechanical-Keyboard-คีย์บอร์ดไร้สาย-Wireless-แท้100-ถูกสุดในโลก-i.886218336.19657857569?sp_atk=219389f7-9bcb-4edb-b22f-af5ca4d5a1a3&xptdk=219389f7-9bcb-4edb-b22f-af5ca4d5a1a3,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2 k2 v2,2166,https://shopee.co.th/Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-k2-v2-i.868884751.19548988285?sp_atk=68817a65-f550-4534-9b53-09a084b74041&xptdk=68817a65-f550-4534-9b53-09a084b74041,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2,1518,https://shopee.co.th/Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-i.872892839.19850886172?sp_atk=f2ab4ef2-ef8c-4322-8e1f-735ddf08e69d&xptdk=f2ab4ef2-ef8c-4322-8e1f-735ddf08e69d,None,None,None,None,None,shopee
Keychron Q1&K2 OEM Dye-Sub PBT Keycap Set - Orange,1590,https://shopee.co.th/Keychron-Q1-K2-OEM-Dye-Sub-PBT-Keycap-Set-Orange-i.241119803.16309647110?sp_atk=56a7a22b-434f-45a1-a919-00c9115e9acc&xptdk=56a7a22b-434f-45a1-a919-00c9115e9acc,None,None,None,None,None,shopee
[พร้อมส่ง] Keychron K2 V2 คีย์บอร์ดบลูทูธไร้สาย 84 คีย์,1936,https://shopee.co.th/-พร้อมส่ง-Keychron-K2-V2-คีย์บอร์ดบลูทูธไร้สาย-84-คีย์-i.865159572.18347085670?sp_atk=bc958a66-d01f-4812-b6e7-80430310b924&xptdk=bc958a66-d01f-4812-b6e7-80430310b924,None,None,None,None,None,shopee
เคสแป้นพิมพ์ ฝาครอบป้องกันถุงเก็บ for keychron K2 K3 K4 K6 K8 C1 C2 K12 K10 Q1 กระเป๋า carrying case Travel storage bag,555,https://shopee.co.th/เคสแป้นพิมพ์-ฝาครอบป้องกันถุงเก็บ-for-keychron-K2-K3-K4-K6-K8-C1-C2-K12-K10-Q1-กระเป๋า-carrying-case-Travel-storage-bag-i.877199908.20153107656?sp_atk=e07e7aeb-d126-4f99-9524-c9c9e5eeb65a&xptdk=e07e7aeb-d126-4f99-9524-c9c9e5eeb65a,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2 k2 v2,1600,https://shopee.co.th/Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-k2-v2-i.872918791.21950768466?sp_atk=0de810dc-d589-46e8-9db8-f1ebf7da5028&xptdk=0de810dc-d589-46e8-9db8-f1ebf7da5028,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2,1368,https://shopee.co.th/Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-i.887288968.18960360580?sp_atk=a5edbf89-7d3f-4351-86a6-d1027d3c6548&xptdk=a5edbf89-7d3f-4351-86a6-d1027d3c6548,None,None,None,None,None,shopee
[พร้อมส่ง] Keychron K2 V2 คีย์บอร์ดบลูทูธไร้สาย 84 คีย์,2001,https://shopee.co.th/-พร้อมส่ง-Keychron-K2-V2-คีย์บอร์ดบลูทูธไร้สาย-84-คีย์-i.804057772.18418214018?sp_atk=138f9e3f-98b2-46f3-b4ef-42da3a3ad7a1&xptdk=138f9e3f-98b2-46f3-b4ef-42da3a3ad7a1,None,None,None,None,None,shopee
▧Keychron keycap PBT Retro Set OEM XDA profile (italic version) คีย์ภาษาไทย K2 Q1,790,https://shopee.co.th/▧Keychron-keycap-PBT-Retro-Set-OEM-XDA-profile-(italic-version)-คีย์ภาษาไทย-K2-Q1-i.908728543.23508437924?sp_atk=2c830557-25c3-4234-9e9a-6a9ea5a5728f&xptdk=2c830557-25c3-4234-9e9a-6a9ea5a5728f,None,None,None,None,None,shopee
۩❣❡Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2,1851,https://shopee.co.th/۩❣❡Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-i.879104898.19853149413?sp_atk=cec0c415-dfc6-4163-b953-fd9941b9d9f9&xptdk=cec0c415-dfc6-4163-b953-fd9941b9d9f9,None,None,None,None,None,shopee
[ประกันไทย] [in stock] Keychron K2 V2 RGB คีย์บอร์ด สินค้าถ่ายจากงานจริง % คีย์บอร์ดไร้สาย - ระบบย้อนแสง,1288,https://shopee.co.th/-ประกันไทย-in-stock-Keychron-K2-V2-RGB-คีย์บอร์ด-สินค้าถ่ายจากงานจริง-คีย์บอร์ดไร้สาย-ระบบย้อนแสง-i.906648162.18465580247?sp_atk=4a8efa78-4001-4aa0-9953-092d16fccbff&xptdk=4a8efa78-4001-4aa0-9953-092d16fccbff,None,None,None,None,None,shopee
Keychron Keycap Set PBT OEM Profile Dye-Sub-Christmas Tree คีย์ครอน ปุ่มคีย์แคปภาษาอังกฤษสำหรับคีย์บอร์ดรุ่น K2/Q1/Q2,907,https://shopee.co.th/Keychron-Keycap-Set-PBT-OEM-Profile-Dye-Sub-Christmas-Tree-คีย์ครอน-ปุ่มคีย์แคปภาษาอังกฤษสำหรับคีย์บอร์ดรุ่น-K2-Q1-Q2-i.912005359.22009236799?sp_atk=fd35c4da-4f69-4166-9f8e-547eb333d422&xptdk=fd35c4da-4f69-4166-9f8e-547eb333d422,None,None,None,None,None,shopee
Keychron Keycap Set PBT K6 XDA Profile Dye-Sub - Retro ENG คีย์ครอน ปุ่มคีย์แคป สำหรับคีย์บอร์ดรุ่น K6/K2,907,https://shopee.co.th/Keychron-Keycap-Set-PBT-K6-XDA-Profile-Dye-Sub-Retro-ENG-คีย์ครอน-ปุ่มคีย์แคป-สำหรับคีย์บอร์ดรุ่น-K6-K2-i.912159101.21267151420?sp_atk=33192481-ac36-486e-838e-35a74dfffbb2&xptdk=33192481-ac36-486e-838e-35a74dfffbb2,None,None,None,None,None,shopee
Keychron K2 V.2 Hotswappable (Key ENG) Mechanical Keyboard RGB Aluminum Frame คีย์บอร์ดไร้สาย,1529,https://shopee.co.th/Keychron-K2-V.2-Hotswappable-(Key-ENG)-Mechanical-Keyboard-RGB-Aluminum-Frame-คีย์บอร์ดไร้สาย-i.869637791.19150505273?sp_atk=66310ea4-9df2-43e4-b736-ef3e7243ec45&xptdk=66310ea4-9df2-43e4-b736-ef3e7243ec45,None,None,None,None,None,shopee
✼Keychron K2 V.2 Hotswap (Key ENG) Mechanical Keyboard RGB คีย์บอร์ดไร้สาย K2V2 k2 v2,1559,https://shopee.co.th/✼Keychron-K2-V.2-Hotswap-(Key-ENG)-Mechanical-Keyboard-RGB-คีย์บอร์ดไร้สาย-K2V2-k2-v2-i.909934454.18666653707?sp_atk=b92ceeab-c053-4988-8463-78d2f5be3f28&xptdk=b92ceeab-c053-4988-8463-78d2f5be3f28,mnx33xd0rs,None,"฿1,559 - ฿2,891",None,0,shopee
